English,Bislama,East Ambae,French,Category
alive,Laef,mwaso,vivant,Adjectives
All right,Oraet,garea,d'accord,Adjectives
bad,Nogud,,mal,Adjectives
Big,Bigfala,lawua,grand,Adjectives
Big,Bigfala,boe,grand,Adjectives
Big,Big,lawua,grand,Adjectives
Big,Big,boe,grand,Adjectives
Busy,Bisi,,occupé,Adjectives
clean,klin,mwasara,propre,Adjectives
Clear,Klia,,clair,Adjectives
close,klosap,teu gagarani,proche,Adjectives
cold,kolkol,gamwadidi,froid,Adjectives
confused,fasfas,hagolegnagi,confus,Adjectives
dangerous,denja,,dangereux,Adjectives
dark,tudak,,sombre,Adjectives
Daylight,Delaet,,lumière du jour,Adjectives
dead,ded,,mort,Adjectives
deaf,sorae I fas,,sourd,Adjectives
deep,dip,,profond,Adjectives
dirty,doti,,sale,Adjectives
Drunk,Drong,,ivre,Adjectives
dry,drae,mamaha,sec,Adjectives
Every day,Evridei,,tous les jours,Adjectives
fast,hariap,,vite,Adjectives
Feel Well,Harem gud,,se sentir bien,Adjectives
flat,flat,,plat,Adjectives
Full,Fas,salawuagi,plein,Adjectives
Good,Gud,garea,bien,Adjectives
hard,had,hire,dur,Adjectives
hard,strong,siaga,dur,Adjectives
healthy,helti,,en bonne santé,Adjectives
Heavy,Hevi,mava,lourd,Adjectives
high,antap,,haute,Adjectives
Later,Bihaen,,plus tard,Adjectives
lazy,les,huiesi,paresseux,Adjectives
light,laet,,lumière,Adjectives
Long,Longfala,qwaravu,longue,Adjectives
loose,slak,,lâche,Adjectives
loud,laod,,bruyant,Adjectives
low,daon,,bas,Adjectives
lucky,laki,,chanceux,Adjectives
Many,Plante,,beaucoup,Adjectives
Match,Maj,,rencontre,Adjectives
mean,min,,méchant,Adjectives
Middle,Medel,,milieu,Adjectives
narrow,smol,,étroit,Adjectives
New,Niufala,faqawaro,nouveau,Adjectives
New,Niuwan,faqawaro,nouveau,Adjectives
Next,Nekis,shuhurie,prochain,Adjectives
Early,Eli,siserigi,de bonne heure,Adjectives
nice,naes,garea,agréable,Adjectives
Packed,Fas,,plein,Adjectives
plenty,Plante,,beaucoup,Adjectives
poor,pua,esiesinona,pauvre,Adjectives
Quiet,Kwaet,rorongo,silencieux,Adjectives
rich,rij,,riche,Adjectives
Ripe,Raep,mena,mûr,Adjectives
Round,Raon,qwulo,rond,Adjectives
same,semak,tatarise,même,Adjectives
shallow,salo,,peu profond,Adjectives
Short,Sot,quilondo,court,Adjectives
sick,sik,seke,malade,Adjectives
slow,slo,rorongo,lent,Adjectives
small,Smolsmol,biti,petit,Adjectives
Soft,Sofsof,mandamanda,doux,Adjectives
sour,konkon,ghoghona,acide,Adjectives
Sorry,Sori,,pardon,Adjectives
Strong,Strong,siagagi,fort,Adjectives
stubborn,stronghed,qwatu siaga,têtu,Adjectives
Stuck,Fas,bubulu,coincé,Adjectives
Style,Fasin,,style,Adjectives
Tall,Longfala,qwaravu,grand,Adjectives
tight,taet,,serré,Adjectives
Tiny,Smolsmol,bitigi,miniscule,Adjectives
Tired,Taed,sorusoru,fatigué,Adjectives
Trouble,Trabol,,difficulté,Adjectives
Useless,Rabis,hatie gineu hogo,inutile,Adjectives
warm,wom,,chaud,Adjectives
weak,slak,silagiki,faible,Adjectives
wet,wetwet,bibilu,mouiller,Adjectives
wide,big,,large,Adjectives
angry,Kros,,en colère,Adjectives Describing People
Bald,Bolhed,,Chauve,Adjectives Describing People
beautiful,Fes i naes,,beau,Adjectives Describing People
Blind,Blaen,dodo,Aveugle,Adjectives Describing People
careful,Sloslo,,prudent,Adjectives Describing People
careless,Olbaot,,négligent,Adjectives Describing People
crazy,kranki,mwamwaega,fou,Adjectives Describing People
cute,Fes i naes,,mignon,Adjectives Describing People
famous,popiula,,célèbre,Adjectives Describing People
happy,hapi,havuhevu,content,Adjectives Describing People
interesting,interes,tarani,intéressant,Adjectives Describing People
Old,Olfala,sesea,Vieux,Adjectives Describing People
popular,popiula,rau iloe vunuhiute,populaire,Adjectives Describing People
Proud,Praod,,Fier,Adjectives Describing People
sad,sad,,triste,Adjectives Describing People
skinny,bunbun,mwenduge,maigre,Adjectives Describing People
fat,fatfat,lawahi,graisse,Adjectives Describing People
smart,gat hed,huigarea,intelligent,Adjectives Describing People
thin,Bunbun,mwenduge,mince,Adjectives Describing People
ugly,Fes I nogud,,laid,Adjectives Describing People
young,yang,mwalakelu,Jeune,Adjectives Describing People
Constantly,Oltaem,,Constamment,Adverbs
Outside,Afsaed,,À l'extérieur,Adverbs
Perhaps,Maet,,Peut-être,Adverbs
Underneath,Andanit,,Sous,Adverbs
A Little,Lelebet,,Un peu,Adverbs
Again,Bakegen,,Encore,Adverbs
Almost,Klosap,,Presque,Adverbs
Around,Raon,,Autour,Adverbs
Far,Longwe,vagahao,Loin,Adverbs
Just,Nomo,,Juste,Adverbs
Loudly,Strong,,Bruyamment,Adverbs
Near,Klosap,,Près,Adverbs
Now,Nao,,À présent,Adverbs
Only,Nomo,,Seulement,Adverbs
Possibly,Ating,,Peut-être,Adverbs
Previously,Fastaem,tavuigi,Précédemment,Adverbs
Probably,Ating,,Probablement,Adverbs
Somewhat,Lelebet,,Quelque peu,Adverbs
Too,Tu,,Aussi,Adverbs
With,Wetem,,Avec,Adverbs
After,Bihaen,,Après,Time
always,Oltaem,,toujours,Time
before,Bifo,,avant,Time
during,taem we,,pendant,Time
never,neva,,jamais,Time
often,fulap taem,,souvent,Time
rarely,wanwan taem nomo,,rarement,Time
recently,ino longtaem,,récemment,Time
sometimes,samtaem,,parfois,Time
soon,ino longtaem,,bientôt,Time
today,tedei,mamou,aujourd'hui,Time
tomorrow,tumoro,,demain,Time
usually,evri taem,,d'habitude,Time
yesterday,yestedei,,hier,Time
Cat,Puskat,,Chat,Animals
Fowl,Faol,,Volaille,Animals
Hen,Faol,,Poule,Animals
animal,Anamol,,animal,Animals
ant,Anis,,fourmi,Animals
bat,Nakarae,,chauve souris,Animals
bird,Pijin,,oiseau,Animals
chicken,Faol,,poulet,Animals
cow,buluk,,vache,Animals
crocodile,krokodael,,crocodile,Animals
dog,dog,,chien,Animals
dolphin,dolfin,,dauphin,Animals
duck,dakdak,,canard,Animals
Fish,Fis,,Poisson,Animals
fly,flae,,mouche,Animals
goat,nani,,chèvre,Animals
hornet,honet,,frelon,Animals
horse,hos,,cheval,Animals
kitten,smol puskat,,chaton,Animals
lobster,lobsta,,Homard,Animals
octopus,nawita,,poulpe,Animals
pig,pig,,porc,Animals
puppy,smol dog,,chiot,Animals
rat,rat,,rat,Animals
shark,sak,,requin,Animals
Snake,Snek,,Serpent,Animals
spider,spaeda,,Araignée,Animals
Squid,Nawita,,Calamar,Animals
turtle,totel,,tortue,Animals
All right,Ale,garea,D'accord,Basics
A,Wan,,Un,Basics
Afternoon,Aftenun,,Après midi,Basics
An,Wan,,Un,Basics
And,Mo,,Et,Basics
Because,From,,Car,Basics
Been (past tense),Bin,,,Basics
Fine,Faen,,Bien,Basics
good afternoon,gud aftanun,Revrevgarea,bonne après-midi,Basics
good morning,gud moning,rangarea,Bonjour,Basics
good night,gud naet,bongarea,bonne nuit,Basics
goodbye,tata,,Au revoir,Basics
hello,halo,,Bonjour,Basics
Like,Olsem,,Comme,Basics
Midday,Medel dei,,Midi,Basics
Midday meal,Dina,,Repas de midi,Basics
No,No,hatie,Non,Basics
No,Nogat,hatie,Non,Basics
Not good,Nogud,,Pas bon,Basics
Right,Tru,,Droite,Basics
So,Mekem se,,Alors,Basics
So that,Mekem se,,Pour que,Basics
Some,Sam,,Certains,Basics
Thank you,Tangkiu,,Je vous remercie,Basics
That,Disfela,,Cette,Basics
This,Disfela,nge,Ce,Basics
Thus,Olsem,,Ainsi,Basics
Until,Kasem,,Jusqu'à,Basics
What,Wanem,,Quelle,Basics
Where,Wea,,Où,Basics
Why,Blong wanem,,Pourquoi,Basics
yes,ies,si,Oui,Basics
true,Tru,ngehi a hogo,vrai,Basics
false,fols,hate hogo,faux,Basics
back,Baksaed,,arrière,Body Parts
body,Bodi,,corps,Body Parts
cheeks,Jik,,des joues,Body Parts
chest,Jes,,poitrine,Body Parts
ears,sorae,,oreilles,Body Parts
eyebrows,gras blong ae,,les sourcils,Body Parts
eyes,ae,,les yeux,Body Parts
fingers,finga,,des doigts,Body Parts
foot,Leg,,pied,Body Parts
hair,hea,,cheveux,Body Parts
hands,han,,mains,Body Parts
head,hed,,tête,Body Parts
knees,joen blong leg,,les genoux,Body Parts
legs,leg,,jambes,Body Parts
lips,skin blong maot,,lèvres,Body Parts
mouth,maot,,bouche,Body Parts
neck,nek,,cou,Body Parts
nose,nus,,nez,Body Parts
shoulders,solda,,épaules,Body Parts
stomach,bel,,estomac,Body Parts
teeth,tut,,les dents,Body Parts
throat,trot,,gorge,Body Parts
toes,finga blong leg,,les orteils,Body Parts
tongue,tang,,langue,Body Parts
tooth,tut,,dent,Body Parts
coat,kot,,manteau,Clothing
dress,dres,,robe,Clothing
hat,hat,,chapeau,Clothing
pants,long traoses,,un pantalon,Clothing
sandals,sabat,,des sandales,Clothing
shirt,sot,,chemise,Clothing
shoes,sus,,chaussures,Clothing
shorts,traoses,,short,Clothing
skirt,sket,,jupe,Clothing
black,Blak,Maeto,noir,Colors
blue,Blu,gesaga,bleu,Colors
brown,Braon,,marron,Colors
color,kala,raga,Couleur,Colors
Green,Grin,,vert,Colors
green,grin,,vert,Colors
orange,Aranis,,Orange,Colors
pink,red,,rose,Colors
purple,red,,violet,Colors
red,red,,rouge,Colors
white,Waet,Mavute,blanc,Colors
yellow,yelo,,jaune,Colors
Friday,Fraedei,,Vendredi,Dates
Monday,mande,,Lundi,Dates
Saturday,saredei,,samedi,Dates
Sunday,sandei,,dimanche,Dates
Thursday,Tosdei,,Jeudi,Dates
Tuesday,Tusdei,,Mardi,Dates
Wednesday,wenisdei,,Mercredi,Dates
beer,Bia,,Bière,Food and Drinks
coffee,kofe,,café,Food and Drinks
juice,jus,,jus,Food and Drinks
kava,kava,,le kava,Food and Drinks
kava,malok,,le kava,Food and Drinks
milk,melek,,Lait,Food and Drinks
tea,ti,,thé,Food and Drinks
water,wota,,eau,Food and Drinks
wine,waen,,du vin,Food and Drinks
avocado,Avoka,,Avocat,Food and Drinks
beef,Buluk,,du boeuf,Food and Drinks
bread,Bred,,pain,Food and Drinks
capsicum,Kapsikum,,latin,Food and Drinks
cheese,Jis,,fromage,Food and Drinks
chicken,Jikin,,poulet,Food and Drinks
